Date,Region,Product,Salesperson,Customer_Type,Units_Sold,Unit_Price,Discount,Revenue,Cost,Gross_Profit,Gross_Margin,Sales_Target
2025-01-03,Lagos,Product B,Salesperson 3,SME,235,22000,0.118,4559940.0,2548737.196974085,2011202.8030259148,0.4410590496861614,4947302.767061573
2025-01-04,Ibadan,Product A,Salesperson 3,Corporate,327,15000,0.001,4900095.0,3112049.0789525528,1788045.9210474472,0.3649002562292052,5519898.117371519
2025-01-04,Lagos,Product D,Salesperson 6,Retail,298,45000,0.062,12578580.0,9133689.167393677,3444890.832606323,0.2738696126753833,11703182.815062705
2025-01-05,Port Harcourt,Product D,Salesperson 6,SME,123,45000,0.105,4953825.0,3814779.0101741664,1139045.9898258336,0.22993262576409818,5284375.644297727
2025-01-05,Kano,Product B,Salesperson 7,Corporate,369,22000,0.105,7265610.0,4828248.868883658,2437361.131116342,0.3354654504048995,7250473.087651426
2025-01-05,Port Harcourt,Product D,Salesperson 8,Retail,371,45000,0.043,15977115.0,9930157.146642864,6046957.853357136,0.3784762050819022,17847731.456124436
2025-01-05,Lagos,Product A,Salesperson 3,Corporate,369,15000,0.085,5064525.0,3330458.543552791,1734066.4564472092,0.3423946878428301,4926192.394349991
2025-01-05,Ibadan,Product B,Salesperson 7,Retail,123,22000,0.051,2567994.0,1858253.5687504625,709740.4312495375,0.276379318351031,2472665.59420269
2025-01-06,Ibadan,Product E,Salesperson 3,Corporate,251,60000,0.055,14231700.0,10729500.745833447,3502199.254166553,0.24608439288114228,15050048.13738357
2025-01-07,Lagos,Product C,Salesperson 6,Corporate,353,30000,0.0,10590000.0,6628997.523187735,3961002.476812265,0.37403233964232907,11443716.31912238
2025-01-07,Lagos,Product E,Salesperson 4,Corporate,172,60000,0.036,9948480.0,7331766.455973499,2616713.5440265005,0.26302646675939445,10307122.709256846
2025-01-07,Kano,Product C,Salesperson 1,SME,280,30000,0.082,7711200.0,5313486.597967737,2397713.4020322626,0.310939075893799,7923674.277716348
2025-01-07,Ibadan,Product D,Salesperson 7,Retail,494,45000,0.109,19806930.0,15215725.83843041,4591204.16156959,0.23179786880498846,18684734.49494375
2025-01-07,Lagos,Product E,Salesperson 7,SME,461,60000,0.103,24811020.0,13939002.366127815,10872017.633872185,0.4381930945955541,22612454.45766487
2025-01-08,Kano,Product C,Salesperson 7,Corporate,352,30000,0.135,9134400.0,5759736.305879127,3374663.6941208728,0.36944557870477235,9605545.381024482
2025-01-08,Abuja,Product A,Salesperson 5,SME,484,15000,0.049,6904260.0,4402522.917385186,2501737.082614814,0.3623468818692827,6562970.659443557
2025-01-08,Ibadan,Product B,Salesperson 7,Corporate,185,22000,0.084,3728120.0,2590700.2371223285,1137419.7628776715,0.3050920471652392,4097483.6623274414
2025-01-09,Lagos,Product B,Salesperson 6,Corporate,231,22000,0.018,4990524.0,3524791.742421813,1465732.2575781872,0.29370307758828273,5086753.488825643
2025-01-09,Ibadan,Product A,Salesperson 2,Retail,311,15000,0.108,4161180.0,3146005.14202248,1015174.8579775202,0.24396321667832688,4288484.294638343
2025-01-09,Kano,Product B,Salesperson 3,Retail,441,22000,0.015,9556470.0,6825613.278226099,2730856.721773901,0.2857599847824459,10428134.486529993
2025-01-10,Ibadan,Product D,Salesperson 1,SME,137,45000,0.049,5862915.0,4154645.3890808746,1708269.6109191254,0.29136864698177023,5561198.689323835
2025-01-10,Port Harcourt,Product D,Salesperson 7,Corporate,54,45000,0.002,2425140.0,1381935.2525181025,1043204.7474818975,0.43016269060008805,2552198.25857463
2025-01-10,Ibadan,Product D,Salesperson 5,SME,126,45000,0.074,5250420.0,3314018.3370574364,1936401.6629425636,0.36880890727647764,5968529.849597848
2025-01-11,Port Harcourt,Product E,Salesperson 5,Corporate,461,60000,0.087,25253580.0,15050395.875683973,10203184.124316027,0.4040292158306279,27600934.785663143
2025-01-11,Port Harcourt,Product E,Salesperson 1,SME,352,60000,0.008,20951040.0,14029214.812856935,6921825.187143065,0.3303809828601857,23829385.206616398
2025-01-11,Lagos,Product E,Salesperson 4,Retail,316,60000,0.048,18049920.0,12219149.285151027,5830770.714848973,0.3230358203720001,17441551.39540808
2025-01-11,Abuja,Product B,Salesperson 1,Corporate,279,22000,0.068,5720616.0,3709070.7117093503,2011545.2882906497,0.35163088875230386,6147741.474691105
2025-01-12,Lagos,Product A,Salesperson 6,SME,267,15000,0.064,3748680.0,2306727.5746889557,1441952.4253110443,0.38465604567769035,3619118.9362754277
2025-01-12,Lagos,Product C,Salesperson 3,SME,325,30000,0.149,8297250.0,5340524.629595589,2956725.370404411,0.35635004012225874,8321689.606889086
2025-01-12,Port Harcourt,Product A,Salesperson 2,SME,250,15000,0.125,3281250.0,2292179.0461361213,989070.9538638787,0.3014311478442297,3275311.6913054334
2025-01-12,Kano,Product A,Salesperson 5,SME,342,15000,0.072,4760640.0,2632319.671737508,2128320.328262492,0.447066009667291,4287124.03656821
2025-01-12,Lagos,Product D,Salesperson 2,Corporate,407,45000,0.032,17728920.0,12982268.204846388,4746651.795153612,0.26773496609796943,18058556.646074705
2025-01-13,Abuja,Product A,Salesperson 6,Corporate,452,15000,0.1,6102000.0,4165062.135243117,1936937.8647568831,0.3174267231656642,5787289.796644589
2025-01-14,Lagos,Product A,Salesperson 1,Retail,10,15000,0.039,144150.0,85913.6957750326,58236.3042249674,0.40399794814406803,136858.56638760646
2025-01-14,Abuja,Product B,Salesperson 8,Retail,406,22000,0.1,8038800.0,5693331.006203644,2345468.993796356,0.2917685467726969,8789029.129417859
2025-01-14,Lagos,Product B,Salesperson 7,Retail,264,22000,0.063,5442096.0,4190806.85856849,1251289.14143151,0.22992779646509542,4954478.6967898775
2025-01-15,Lagos,Product C,Salesperson 6,SME,371,30000,0.019,10918530.0,8170989.47228313,2747540.5277168704,0.2516401500675339,9835197.960996125
2025-01-15,Lagos,Product B,Salesperson 3,SME,246,22000,0.103,4854564.0,3128964.828871803,1725599.171128197,0.35545914548210655,4459110.1312907
2025-01-15,Kano,Product C,Salesperson 4,SME,102,30000,0.075,2830500.0,1796714.695774077,1033785.304225923,0.3652306321236259,2861914.1761102714
2025-01-15,Port Harcourt,Product B,Salesperson 7,Retail,462,22000,0.109,9056124.0,5617356.010645362,3438767.9893546384,0.3797174143546001,9129187.195962334
2025-01-15,Kano,Product D,Salesperson 1,SME,280,45000,0.045,12033000.0,9373574.232869366,2659425.767130634,0.22101103358519353,12309129.17059015
2025-01-16,Lagos,Product C,Salesperson 5,SME,150,30000,0.107,4018500.0,2717667.9138752553,1300832.0861247447,0.32371085880919365,4214317.507515621
2025-01-16,Abuja,Product D,Salesperson 8,Retail,66,45000,0.009,2943270.0,1746694.9341807936,1196575.0658192064,0.4065461428340609,2708431.491468135
2025-01-16,Port Harcourt,Product B,Salesperson 6,SME,468,22000,0.022,10069488.0,7597403.037105,2472084.9628950004,0.24550254818268819,11344169.913094267
2025-01-17,Kano,Product B,Salesperson 2,SME,197,22000,0.146,3701236.0,2804736.620996074,896499.3790039262,0.24221621615155753,3359239.4015018386
2025-01-17,Ibadan,Product B,Salesperson 5,Corporate,215,22000,0.039,4545530.0,2972121.223884276,1573408.776115724,0.3461441847519924,4889889.920795853
2025-01-17,Ibadan,Product E,Salesperson 6,Retail,281,60000,0.066,15747239.999999998,9124036.51324579,6623203.486754209,0.4205945604915026,17300517.418202315
2025-01-17,Kano,Product C,Salesperson 1,Retail,236,30000,0.04,6796800.0,4613500.7294794945,2183299.2705205055,0.32122458664673165,7459263.888059658
2025-01-17,Port Harcourt,Product E,Salesperson 5,Corporate,124,60000,0.01,7365600.0,5479920.907577152,1885679.0924228476,0.2560116069869186,8228531.913177777
2025-01-17,Kano,Product B,Salesperson 3,Retail,399,22000,0.123,7698306.0,5786182.028297758,1912123.9717022423,0.24838243266794569,8265174.561495747
2025-01-18,Ibadan,Product C,Salesperson 8,Retail,450,30000,0.042,12933000.0,9678242.819092462,3254757.180907538,0.25166296921886167,14377561.222593617
2025-01-18,Lagos,Product C,Salesperson 4,SME,202,30000,0.037,5835780.0,4244288.912924789,1591491.087075211,0.2727126600172061,5476990.019512943
2025-01-19,Ibadan,Product B,Salesperson 3,Corporate,136,22000,0.064,2800512.0,1736193.401211408,1064318.598788592,0.38004429146834295,2976479.445081686
2025-01-19,Kano,Product C,Salesperson 2,Corporate,307,30000,0.038,8860020.0,4912973.433284484,3947046.566715516,0.4454895775309216,9483601.56382908
2025-01-20,Abuja,Product E,Salesperson 8,SME,335,60000,0.123,17627700.0,13177884.513195274,4449815.486804726,0.25243313006261314,17621282.258429665
2025-01-20,Lagos,Product E,Salesperson 3,SME,475,60000,0.14,24510000.0,16503176.73599757,8006823.264002429,0.326675775765093,25888212.433628768
2025-01-20,Abuja,Product D,Salesperson 5,Corporate,330,45000,0.071,13795650.0,9077124.08289735,4718525.91710265,0.3420299817045699,14728289.448701207
2025-01-21,Lagos,Product A,Salesperson 1,SME,130,15000,0.074,1805700.0,1320466.4297704285,485233.57022957155,0.2687232487287875,1954492.6816310643
2025-01-21,Ibadan,Product E,Salesperson 4,Corporate,52,60000,0.011,3085680.0,2053490.039203094,1032189.9607969059,0.33450972258850753,3116808.1654167324
2025-01-21,Abuja,Product D,Salesperson 7,Corporate,329,45000,0.038,14242410.0,8490495.440361977,5751914.559638023,0.4038582346413299,15859876.682145633
2025-01-21,Ibadan,Product D,Salesperson 7,SME,436,45000,0.012,19384560.0,12682837.63251113,6701722.36748887,0.34572476071104374,21352172.823617116
2025-01-22,Abuja,Product C,Salesperson 6,SME,116,30000,0.102,3125040.0,1742474.481659746,1382565.518340254,0.44241530295300346,3495554.021178404
2025-01-22,Ibadan,Product B,Salesperson 7,Retail,497,22000,0.046,10431036.0,6968012.995182708,3463023.004817292,0.3319922397753485,11362776.743728802
2025-01-22,Port Harcourt,Product C,Salesperson 1,SME,492,30000,0.143,12649320.0,8052166.674027554,4597153.325972446,0.36343086632107074,11448322.470488984
2025-01-22,Abuja,Product D,Salesperson 7,Retail,211,45000,0.042,9096210.0,6802664.290359004,2293545.7096409956,0.25214300347518315,10180035.424791854
2025-01-22,Abuja,Product A,Salesperson 7,Retail,490,15000,0.07,6835500.0,5099856.569517821,1735643.430482179,0.2539160896031276,7751707.068961551
2025-01-23,Abuja,Product E,Salesperson 1,Retail,450,60000,0.011,26703000.0,18145198.970440846,8557801.029559154,0.3204808834048292,25289076.02769934
2025-01-23,Abuja,Product B,Salesperson 3,Retail,123,22000,0.026,2635644.0,1785273.2128646115,850370.7871353885,0.3226425067783769,2774132.9758466617
2025-01-23,Abuja,Product E,Salesperson 2,SME,271,60000,0.148,13853520.0,8475142.195308099,5378377.804691901,0.38823185765725254,13743766.811111545
2025-01-23,Abuja,Product E,Salesperson 4,Corporate,403,60000,0.038,23261160.0,16774352.266576232,6486807.733423768,0.27886862621742714,25520701.641312193
2025-01-24,Abuja,Product B,Salesperson 5,Retail,410,22000,0.092,8190160.0,6362005.094171373,1828154.9058286268,0.22321357651482104,9280847.502359223
2025-01-25,Ibadan,Product E,Salesperson 4,Corporate,97,60000,0.06,5470800.0,3699919.128074074,1770880.8719259258,0.3236968764944662,5032990.596792244
2025-01-25,Lagos,Product A,Salesperson 1,Corporate,459,15000,0.112,6113880.0,3737212.214908825,2376667.785091175,0.3887331424710945,6859495.354180551
2025-01-25,Lagos,Product A,Salesperson 4,SME,341,15000,0.053,4843905.0,3606807.569306457,1237097.430693543,0.2553925873223242,4468888.13145637
2025-01-25,Lagos,Product C,Salesperson 7,Corporate,261,30000,0.131,6804270.0,3940115.5101215225,2864154.4898784775,0.42093486735218877,6940758.065592376
2025-01-26,Kano,Product E,Salesperson 1,Corporate,482,60000,0.101,25999080.0,16320482.961410457,9678597.038589543,0.3722669047746898,26063027.844862394
2025-01-26,Port Harcourt,Product A,Salesperson 1,SME,432,15000,0.019,6356880.0,4556162.550030755,1800717.4499692451,0.28327063747770054,6895823.703506742
2025-01-27,Kano,Product C,Salesperson 4,Retail,404,30000,0.054,11465520.0,8258292.988122446,3207227.0118775535,0.27972800290589117,12692078.576702833
2025-01-27,Lagos,Product E,Salesperson 2,SME,316,60000,0.065,17727600.0,12629735.665423565,5097864.334576435,0.2875665253376901,18107948.1348134
2025-01-27,Port Harcourt,Product B,Salesperson 1,Retail,492,22000,0.125,9471000.0,6848030.837010727,2622969.1629892727,0.2769474356445225,9914752.254070085
2025-01-28,Port Harcourt,Product B,Salesperson 5,Retail,24,22000,0.051,501072.0,347643.0785494022,153428.92145059782,0.3062013472127714,468788.71003295475
2025-01-28,Port Harcourt,Product D,Salesperson 6,SME,472,45000,0.126,18563760.0,11434012.59346874,7129747.406531259,0.3840680663039847,17271663.59394413
2025-01-28,Ibadan,Product A,Salesperson 3,Retail,145,15000,0.116,1922700.0,1346545.62065257,576154.3793474301,0.2996590104267073,2187365.314824539
2025-01-28,Kano,Product C,Salesperson 4,SME,412,30000,0.003,12322920.0,9004398.536959676,3318521.463040324,0.26929668155277514,12446606.525816802
2025-01-28,Kano,Product C,Salesperson 6,Retail,401,30000,0.088,10971360.0,7458212.529641478,3513147.4703585217,0.32021075512593894,11472075.966392262
2025-01-29,Kano,Product D,Salesperson 4,Retail,186,45000,0.035,8077050.0,4744540.02275407,3332509.9772459297,0.4125899898163227,7540796.644404592
2025-01-29,Abuja,Product E,Salesperson 3,Retail,392,60000,0.041,22555680.0,14899849.560314266,7655830.439685734,0.3394191813186627,21021611.48085128
2025-01-29,Port Harcourt,Product B,Salesperson 4,Retail,227,22000,0.131,4339786.0,3102033.6404077644,1237752.3595922356,0.28521045959230146,4182933.419521972
2025-01-29,Lagos,Product A,Salesperson 7,SME,137,15000,0.14,1767300.0,1312327.000010709,454972.99998929095,0.2574395971194992,1980587.517820193
2025-01-29,Lagos,Product E,Salesperson 8,Retail,203,60000,0.019,11948580.0,8207859.76014062,3740720.23985938,0.3130681838226283,13249587.694935696
2025-01-29,Port Harcourt,Product E,Salesperson 3,Corporate,163,60000,0.005,9731100.0,7387179.284804702,2343920.715195298,0.24086904000527157,10161481.094794808
2025-01-31,Ibadan,Product E,Salesperson 3,Corporate,114,60000,0.037,6586920.0,4133718.359719194,2453201.640280806,0.37243531730775625,6802821.819386138
2025-02-01,Kano,Product C,Salesperson 2,Retail,174,30000,0.09,4750200.0,3612165.2037706487,1138034.7962293513,0.2395761854720541,4963496.923378549
2025-02-02,Ibadan,Product E,Salesperson 1,SME,341,60000,0.097,18475380.0,12131230.170052124,6344149.829947876,0.343383996970448,16775938.415614538
2025-02-02,Kano,Product C,Salesperson 4,SME,185,30000,0.14,4773000.0,3582647.409889697,1190352.590110303,0.24939295833025413,4771975.787100358
2025-02-02,Ibadan,Product A,Salesperson 4,Corporate,424,15000,0.067,5933880.0,4211920.051491378,1721959.9485086221,0.29019123212950415,5914788.49614343
2025-02-03,Lagos,Product E,Salesperson 6,Corporate,248,60000,0.066,13897920.0,9374792.527340228,4523127.472659772,0.32545355511182766,14145887.071433876
2025-02-03,Lagos,Product C,Salesperson 5,Corporate,366,30000,0.029,10661580.0,7156333.064626353,3505246.935373647,0.3287736841419046,10094947.109935518
2025-02-03,Kano,Product B,Salesperson 6,Retail,473,22000,0.038,10010572.0,6821239.834392862,3189332.1656071376,0.3185963964503864,11175375.642624348
2025-02-04,Lagos,Product B,Salesperson 2,Retail,120,22000,0.145,2257200.0,1301370.5288256416,955829.4711743584,0.42345803259540954,2236393.5313293017
2025-02-04,Kano,Product B,Salesperson 8,Retail,214,22000,0.028,4576176.0,2671508.4471855937,1904667.5528144063,0.4162137891581107,4464771.609514224
2025-02-04,Port Harcourt,Product E,Salesperson 4,SME,282,60000,0.128,14754240.0,9844564.941702044,4909675.058297956,0.33276367053117994,13900392.37327781
2025-02-04,Lagos,Product E,Salesperson 4,SME,235,60000,0.082,12943800.0,8471180.167082226,4472619.832917774,0.34554148186141426,13182484.169490812
2025-02-05,Port Harcourt,Product A,Salesperson 2,SME,499,15000,0.04,7185600.0,4390100.028791865,2795499.9712081347,0.38904196882767406,7181274.034029645
2025-02-05,Kano,Product A,Salesperson 7,SME,380,15000,0.062,5346600.0,3151037.797549572,2195562.202450428,0.41064642996491757,4892722.507794805
2025-02-06,Kano,Product C,Salesperson 2,SME,244,30000,0.137,6317160.0,3759916.841064333,2557243.158935667,0.4048089899473287,6084865.085396989
2025-02-06,Ibadan,Product A,Salesperson 8,Corporate,65,15000,0.005,970125.0,541029.7259207659,429095.2740792341,0.4423092633209474,966830.3492302231
2025-02-06,Ibadan,Product D,Salesperson 1,SME,465,45000,0.029,20318175.0,11670783.522498785,8647391.477501215,0.42559882851197095,20786085.58977138
2025-02-06,Port Harcourt,Product E,Salesperson 4,SME,454,60000,0.091,24761160.0,18026255.95258422,6734904.047415782,0.2719946903705554,22929304.35225631
2025-02-06,Kano,Product B,Salesperson 4,SME,489,22000,0.073,9972666.0,6432715.921933209,3539950.0780667914,0.3549652698753564,9997217.88872162
2025-02-07,Port Harcourt,Product B,Salesperson 7,Corporate,389,22000,0.013,8446746.0,5948805.483497115,2497940.516502885,0.2957281438914921,8081426.979295402
2025-02-07,Lagos,Product E,Salesperson 3,Corporate,435,60000,0.006,25943400.0,16345192.767512187,9598207.232487813,0.3699672067843002,29344037.23112493
2025-02-08,Kano,Product D,Salesperson 5,SME,257,45000,0.105,10350675.0,5865107.809808326,4485567.190191674,0.43335987171770673,9389695.54556371
2025-02-08,Kano,Product D,Salesperson 5,SME,491,45000,0.086,20194830.0,11771742.525021551,8423087.474978449,0.4170912790540177,20242886.022771742
2025-02-08,Kano,Product A,Salesperson 5,SME,51,15000,0.081,703035.0,457456.9811988631,245578.01880113687,0.3493112274653991,753684.1787802591
2025-02-08,Abuja,Product D,Salesperson 4,Retail,485,45000,0.094,19773450.0,12953893.761521153,6819556.238478847,0.34488449099569607,21004800.769237988
2025-02-08,Ibadan,Product B,Salesperson 7,Retail,280,22000,0.094,5580960.0,4315376.117685799,1265583.8823142014,0.2267681334957071,5103974.590592273
2025-02-08,Port Harcourt,Product D,Salesperson 5,Retail,52,45000,0.041,2244060.0,1712063.7620471197,531996.2379528803,0.23706863361624927,2103530.589400703
2025-02-08,Lagos,Product D,Salesperson 2,SME,354,45000,0.082,14623740.0,8428283.744207513,6195456.255792487,0.4236574402849399,13420962.173053069
2025-02-08,Abuja,Product B,Salesperson 4,SME,441,22000,0.004,9663192.0,6686846.511642193,2976345.4883578066,0.3080085222727445,9338373.9105593
2025-02-08,Port Harcourt,Product E,Salesperson 1,SME,162,60000,0.023,9496440.0,7296075.58502112,2200364.4149788804,0.23170413491570319,10577813.759903219
2025-02-09,Kano,Product B,Salesperson 1,SME,213,22000,0.041,4493874.0,3127178.663331431,1366695.3366685691,0.30412408907516525,4728122.36477737
2025-02-09,Port Harcourt,Product E,Salesperson 2,Retail,317,60000,0.035,18354300.0,12225679.824634375,6128620.175365625,0.3339065055799254,20819029.9661037
2025-02-09,Ibadan,Product A,Salesperson 7,Corporate,100,15000,0.072,1392000.0,988780.6988255645,403219.30117443553,0.28966903820002554,1310930.539905677
2025-02-09,Lagos,Product A,Salesperson 8,Corporate,63,15000,0.008,937440.0,624481.703063791,312958.29693620896,0.3338435493857836,945424.8987343932
2025-02-09,Lagos,Product A,Salesperson 6,Retail,115,15000,0.019,1692225.0,975745.9062277249,716479.0937722751,0.42339469856093315,1532768.9568316797
2025-02-10,Kano,Product E,Salesperson 7,Retail,332,60000,0.085,18226800.0,12850264.283749683,5376535.716250317,0.2949796846539336,20298310.281107154
2025-02-10,Kano,Product B,Salesperson 6,SME,96,22000,0.132,1833216.0,1057801.3004099969,775414.6995900031,0.4229805432584066,1884287.7507536428
2025-02-10,Abuja,Product E,Salesperson 4,Corporate,340,60000,0.079,18788400.0,10743646.26003208,8044753.73996792,0.42817662706605775,17747514.42913374
2025-02-10,Lagos,Product E,Salesperson 4,SME,413,60000,0.014,24433080.0,16740855.99869488,7692224.00130512,0.31482825748146037,22619178.484733667
2025-02-11,Ibadan,Product D,Salesperson 5,SME,343,45000,0.057,14555205.0,9045160.736727376,5510044.263272624,0.37856177657907425,15468103.22747818
2025-02-11,Ibadan,Product C,Salesperson 3,SME,287,30000,0.021,8429190.0,5234847.356744051,3194342.643255949,0.3789619931756134,9536636.625683198
2025-02-11,Lagos,Product E,Salesperson 2,SME,370,60000,0.047,21156600.0,13884913.861459857,7271686.138540143,0.34370769114792277,23373973.405493822
2025-02-11,Lagos,Product C,Salesperson 6,Corporate,284,30000,0.133,7386840.0,4769171.376389079,2617668.623610921,0.35436920572408787,8195992.978819401
2025-02-12,Kano,Product D,Salesperson 8,SME,377,45000,0.125,14844375.0,10185324.109032616,4659050.890967384,0.31385968698361394,14933278.62787999
2025-02-12,Lagos,Product C,Salesperson 5,Retail,267,30000,0.129,6976710.0,4485163.124036665,2491546.875963335,0.3571234687930751,7511807.094982575
2025-02-13,Kano,Product E,Salesperson 7,Retail,255,60000,0.033,14795100.0,9137761.192958275,5657338.807041725,0.3823792206231607,15493278.78484767
2025-02-15,Kano,Product C,Salesperson 3,SME,16,30000,0.008,476160.0,300834.583368291,175325.41663170903,0.3682069401707599,482158.434695362
2025-02-15,Ibadan,Product C,Salesperson 7,Corporate,175,30000,0.09,4777500.0,3526447.1160789104,1251052.8839210896,0.26186350265224273,5049363.486988094
2025-02-15,Ibadan,Product D,Salesperson 2,Corporate,19,45000,0.057,806265.0,591808.5994621898,214456.40053781017,0.2659874861711846,877889.3354991301
2025-02-15,Kano,Product C,Salesperson 6,Retail,115,30000,0.062,3236100.0,2432972.875088472,803127.1249115281,0.2481774744017577,3048100.035686129
2025-02-16,Port Harcourt,Product A,Salesperson 6,SME,321,15000,0.025,4694625.0,3102314.1498112013,1592310.8501887987,0.3391774316774607,4736295.697376939
2025-02-16,Ibadan,Product E,Salesperson 3,SME,109,60000,0.085,5984100.0,3947175.953170754,2036924.046829246,0.34038937297659566,5591734.982277181
2025-02-16,Ibadan,Product A,Salesperson 4,Corporate,416,15000,0.069,5809440.0,3432338.1164381425,2377101.8835618575,0.40917917795206726,5728923.932685271
2025-02-16,Lagos,Product D,Salesperson 6,SME,296,45000,0.062,12494160.0,8358793.348352033,4135366.6516479673,0.330983967841613,12103431.188459279
2025-02-16,Kano,Product C,Salesperson 7,SME,83,30000,0.081,2288310.0,1577388.5643318568,710921.4356681432,0.3106753174474364,2591099.552014788
2025-02-16,Kano,Product E,Salesperson 5,SME,464,60000,0.104,24944640.0,14707476.52252981,10237163.47747019,0.41039531849207644,23979844.270376742
2025-02-16,Port Harcourt,Product E,Salesperson 1,SME,345,60000,0.033,20016900.0,14223800.04954231,5793099.95045769,0.28941044569627117,19284629.04907327
2025-02-17,Kano,Product D,Salesperson 8,SME,436,45000,0.001,19600380.0,12770742.769503323,6829637.230496677,0.34844412355763904,18871773.541226845
2025-02-17,Kano,Product A,Salesperson 7,SME,88,15000,0.081,1213080.0,922089.9392366478,290990.0607633522,0.23987705737738005,1103069.9843738673
2025-02-18,Abuja,Product B,Salesperson 5,SME,388,22000,0.144,7306816.0,5466107.84610822,1840708.1538917804,0.2519165877301112,8368890.424736441
2025-02-18,Port Harcourt,Product A,Salesperson 4,SME,476,15000,0.0,7140000.0,5450853.545271437,1689146.4547285633,0.23657513371548505,7776446.498203202
2025-02-20,Ibadan,Product C,Salesperson 5,Corporate,486,30000,0.089,13282380.0,9779170.360265551,3503209.639734449,0.2637486384017359,12595066.595463237
2025-02-20,Lagos,Product D,Salesperson 2,Corporate,419,45000,0.068,17572860.0,11354404.662953287,6218455.337046713,0.3538670049750987,20028860.472715423
2025-02-20,Kano,Product C,Salesperson 4,Corporate,42,30000,0.046,1202040.0,803249.478653304,398790.52134669595,0.3317614400075671,1291530.986405619
2025-02-20,Abuja,Product A,Salesperson 7,Corporate,332,15000,0.144,4262880.0,2567912.0994906095,1694967.9005093905,0.3976109814279057,4135224.229257991
2025-02-20,Lagos,Product A,Salesperson 6,Corporate,263,15000,0.131,3428205.0,2393117.6020355173,1035087.3979644827,0.3019327601367137,3502982.3447560193
2025-02-22,Ibadan,Product D,Salesperson 3,Retail,422,45000,0.016,18686160.0,13321634.997971326,5364525.002028674,0.2870854687120668,17368687.615030043
2025-02-22,Abuja,Product C,Salesperson 1,Corporate,404,30000,0.094,10980720.0,6129336.821671119,4851383.178328881,0.44180920543724644,11184757.069763247
2025-02-22,Abuja,Product A,Salesperson 4,SME,160,15000,0.036,2313600.0,1781151.1591862026,532448.8408137974,0.23013867600872986,2086264.2684962237
2025-02-22,Port Harcourt,Product D,Salesperson 3,Retail,298,45000,0.137,11572830.0,7564272.538344675,4008557.4616553253,0.3463765960145725,13233621.445323363
2025-02-22,Abuja,Product D,Salesperson 3,Corporate,291,45000,0.06,12309300.0,7101015.017380671,5208284.982619329,0.423117885064084,12447837.120895129
2025-02-23,Ibadan,Product E,Salesperson 5,Corporate,92,60000,0.087,5039760.0,3792404.470522044,1247355.5294779558,0.24750296233907088,5586468.881584878
2025-02-23,Kano,Product E,Salesperson 7,Corporate,335,60000,0.102,18049800.0,12651350.317584433,5398449.682415567,0.2990863988750882,18876459.00823915
2025-02-23,Abuja,Product C,Salesperson 3,SME,203,30000,0.096,5505360.0,3124019.1607077215,2381340.8392922785,0.432549522518469,6276457.685267746
2025-02-23,Abuja,Product D,Salesperson 8,SME,102,45000,0.12,4039200.0,2724332.3629000694,1314867.6370999306,0.3255267471528844,4391537.033355209
2025-02-23,Ibadan,Product A,Salesperson 6,Corporate,94,15000,0.043,1349370.0,864346.2522695855,485023.7477304145,0.3594445909798013,1265962.212494833
2025-02-24,Ibadan,Product E,Salesperson 4,SME,342,60000,0.107,18324360.0,12747436.337834395,5576923.6621656045,0.30434479906341094,17531238.253661044
